accountAgeDays,numItems,localTime,paymentMethodAgeDays,label,paymentMethod_paypal,paymentMethod_storecredit
2000,1,4.742303,0.00694444444444,0,False,False
179,1,4.921318,0.0,0,False,True
2000,1,4.886641,212.140277778,0,False,True
204,1,4.886641,0.0354166666667,0,False,False
2000,1,4.748314,641.321527778,0,True,False
2000,1,4.965339,348.305555556,0,False,False
546,1,4.895263,0.000694444444444,0,True,False
2000,1,4.921318,597.16875,0,True,False
1409,1,4.962055,0.00277777777778,0,False,False
210,1,4.876771,0.0,0,False,False
2000,1,4.745402,1034.67152778,0,True,False
107,1,4.962055,4.10555555556,0,False,False
406,1,4.836982,405.136111111,0,False,False
34,1,4.962055,33.9111111111,0,False,False
200,1,2.94894,199.620833333,0,False,False
638,1,4.962055,0.00138888888889,0,False,False
32,1,4.057414,23.4333333333,0,True,False
684,1,4.965339,316.036805556,0,True,False
2000,1,4.52458,708.970833333,0,False,False
1657,1,4.921318,26.2222222222,0,False,False
1133,1,4.921349,65.85625,0,False,False
4,1,5.017904,3.36597222222,0,False,False
599,1,4.962055,0.0,0,False,False
2000,1,5.034622,544.96875,0,True,False
162,2,4.748314,161.954861111,0,False,False
1407,1,4.962055,0.0,0,False,False
2000,1,4.505662,0.0,0,False,False
535,1,4.742303,37.4270833333,0,False,False
735,1,4.748314,0.0,0,False,False
1657,1,3.066058,244.559722222,0,True,False
3,1,4.876771,2.77777777778,0,False,False
1397,1,4.748314,342.889583333,0,False,False
222,1,4.921318,221.259027778,0,False,False
913,1,4.895263,0.0,0,False,False
1843,1,5.040929,0.208333333333,0,False,False
19,1,4.886641,0.00138888888889,0,False,False
2000,1,5.017904,225.318055556,0,False,False
2000,1,4.742303,259.127777778,0,True,False
1014,1,4.965339,666.010416667,0,False,False
2000,1,4.748314,0.0,0,False,False
964,1,4.876771,0.0,0,False,False
66,1,4.745402,0.954166666667,0,True,False
544,1,4.965339,0.0,0,True,False
1866,1,4.742303,145.461111111,0,True,False
2000,1,3.575983,777.126388889,0,False,False
601,1,3.954522,0.0,0,False,False
954,1,4.886641,0.688888888889,0,False,False
211,1,4.505662,202.078472222,0,False,True
2000,1,4.876771,0.000694444444444,0,False,False
883,3,4.505662,424.275,0,True,False
1183,1,4.962055,0.0,0,False,False
2000,1,5.017904,372.04375,0,False,False
605,1,4.921318,0.0,0,False,False
1625,1,4.895263,0.0,0,False,False
1933,1,3.575983,82.0305555556,0,False,False
3,1,4.836982,0.0,0,False,False
2000,1,4.962055,0.00208333333333,0,True,False
1547,1,4.962055,0.00208333333333,0,True,False
54,1,4.962055,0.0,0,False,False
279,1,4.745402,113.7875,0,False,False
1,4,4.836982,0.0,1,False,False
2000,1,4.745402,0.00138888888889,0,False,False
89,1,4.52458,88.0479166667,0,True,False
1767,1,5.040929,754.884722222,0,False,False
1609,1,4.965339,0.0576388888889,0,False,True
261,1,4.895263,254.733333333,0,False,False
2000,1,4.057414,0.0,0,True,False
978,2,4.876771,0.0,0,False,False
1858,1,4.962055,0.0131944444444,0,False,False
3,1,5.034622,1.98263888889,0,True,False
2000,1,5.040929,0.0,0,True,False
150,1,5.040929,86.1486111111,0,False,False
182,1,4.52458,174.556944444,0,False,True
931,1,3.575983,0.0,0,False,False
158,1,4.461622,0.0,0,False,False
2000,1,4.962055,718.765277778,0,False,False
2000,1,4.965339,0.0,0,True,False
2000,1,4.745402,0.0,0,False,False
1162,1,4.876771,0.0,0,True,False
1208,1,4.962055,465.825,0,False,False
127,1,5.040929,0.000694444444444,0,False,False
13,1,4.921318,0.0,0,False,False
1670,1,4.748314,0.0,0,True,False
2000,1,4.836982,101.892361111,0,True,False
444,1,4.836982,99.1173611111,0,True,False
21,1,4.895263,20.9,0,False,False
19,2,4.962055,0.0,0,False,False
66,1,4.742303,16.825,0,False,False
2000,1,4.745402,0.0,0,False,True
86,1,4.52458,85.3736111111,0,False,False
1896,1,4.921349,0.0,0,False,False
273,1,5.034622,0.00138888888889,0,False,False
43,1,4.876771,0.00208333333333,0,False,False
154,1,4.895263,0.0,0,False,False
497,1,4.965339,494.973611111,0,False,True
494,1,4.962055,0.0458333333333,0,True,False
1799,1,4.921349,1762.99930556,0,True,False
2000,1,3.483951,502.381944444,0,False,False
541,1,4.057414,0.0,0,False,False
369,1,4.921349,0.0,0,False,False
1075,1,3.066058,8.1,0,False,False
2000,1,5.017904,129.929166667,0,True,False
53,1,5.040929,52.2444444444,0,True,False
2000,1,4.921349,327.901388889,0,False,False
824,1,4.057414,0.000694444444444,0,False,False
3,1,4.505662,0.00277777777778,0,False,False
604,1,4.876771,0.0,0,False,False
1285,1,4.52458,26.0069444444,0,True,False
279,1,4.057414,0.00416666666667,0,False,False
2,1,4.921349,0.0,0,False,False
1477,1,5.017904,0.0,0,True,False
645,1,3.954522,555.336111111,0,True,False
2,1,4.52458,1.15,0,False,False
131,1,4.886641,0.0,0,False,False
2000,1,4.461622,0.0,0,True,False
37,1,4.505662,36.4402777778,0,False,False
3,1,4.921349,0.0,0,False,True
2000,1,2.94894,0.0,0,False,False
2000,1,5.017904,0.00694444444444,0,False,False
125,1,4.895263,0.00138888888889,0,True,False
1535,1,5.017904,0.00555555555556,0,True,False
1305,1,5.040929,1261.10763889,0,False,False
2000,1,4.962055,711.086111111,0,True,False
2000,4,4.742303,0.0,0,False,False
32,1,4.962055,29.1798611111,0,False,False
2000,1,4.886641,0.423611111111,0,True,False
2000,1,5.040929,0.00347222222222,0,False,False
106,1,4.965339,0.0,0,False,False
1672,1,4.921349,1568.80347222,0,True,False
1900,1,5.034622,0.00555555555556,0,False,False
911,1,4.876771,0.000694444444444,0,True,False
66,1,4.057414,0.0,0,True,False
13,1,4.921349,12.1986111111,0,False,False
2000,5,2.596228,217.588888889,0,False,False
1394,5,4.742303,549.980555556,0,False,False
1991,1,4.886641,1394.41805556,0,False,False
31,1,4.505662,30.2347222222,0,False,False
102,1,4.836982,0.0,0,False,False
1941,1,4.921349,2.8875,0,False,False
1460,1,3.066058,0.00208333333333,0,True,False
664,1,4.886641,0.000694444444444,0,True,False
1979,1,4.505662,455.571527778,0,False,True
2000,1,4.461622,1.54236111111,0,True,False
569,1,4.876771,0.0111111111111,0,False,False
171,1,5.034622,0.0,0,False,False
1392,1,4.965339,0.0,0,False,False
639,1,5.017904,627.975,0,False,False
14,1,4.921318,0.0,0,False,False
776,1,4.886641,0.0,0,False,False
906,1,5.040929,0.0,0,False,False
4,1,4.921318,0.0,0,False,False
2000,1,4.921349,264.756944444,0,False,False
131,1,4.962055,130.193055556,0,True,False
49,1,4.886641,0.0,0,False,False
2,1,4.836982,1.0375,0,False,False
145,1,4.745402,144.51875,0,False,False
91,1,4.505662,0.000694444444444,0,False,False
17,1,5.034622,0.0,0,False,False
151,1,4.965339,0.0,0,False,False
553,1,4.965339,4.1,0,False,False
779,3,4.057414,128.027777778,0,False,False
1306,1,4.836982,0.00277777777778,0,False,False
2000,1,5.017904,293.9875,0,False,False
877,1,4.52458,682.832638889,0,False,False
2000,1,4.748314,0.0,0,True,False
949,1,4.965339,0.00208333333333,0,False,False
367,1,5.017904,0.0,0,False,False
2000,1,4.921349,0.00208333333333,0,False,False
1602,1,4.921349,0.00972222222222,0,False,False
2000,1,4.52458,277.090277778,0,False,False
1536,1,4.742303,966.345833333,0,False,False
2000,1,4.745402,2.92083333333,0,True,False
526,1,4.886641,25.9458333333,0,False,False
51,1,4.836982,0.0,0,False,False
1289,1,5.034622,251.146527778,0,False,False
38,1,4.921318,0.0,0,False,False
235,1,4.921318,0.0,0,False,True
1842,1,4.876771,0.775694444444,0,False,False
2,1,4.748314,1.025,0,False,False
39,1,5.017904,0.0,0,True,False
529,1,4.895263,508.497222222,0,False,False
2000,1,4.505662,0.00138888888889,0,False,False
2,1,3.575983,1.11666666667,0,False,False
1994,1,4.921318,0.000694444444444,0,False,False
4,1,2.596228,3.46319444444,0,True,False
2000,1,4.895263,944.692361111,0,True,False
37,1,4.505662,0.0,0,True,False
2000,1,4.876771,101.161111111,0,False,False
1612,1,4.505662,0.494444444444,0,True,False
17,1,5.017904,16.0652777778,0,True,False
1615,1,4.748314,0.000694444444444,0,True,False
19,1,5.040929,18.2138888889,0,False,True
2000,1,4.886641,253.284722222,0,False,False
884,1,4.965339,0.0166666666667,0,False,False
1,1,4.836982,0.00277777777778,1,True,False
190,1,5.034622,97.0430555556,0,False,True
130,1,4.505662,129.234722222,0,False,False
2000,1,4.742303,0.0,0,True,False
2000,1,4.962055,0.0,0,True,False
3,1,4.748314,0.00138888888889,0,False,False
8,1,5.040929,0.0,0,False,False
295,2,5.040929,0.00138888888889,0,False,False
352,1,4.745402,351.856944444,0,False,False
2000,1,4.748314,3.05902777778,0,True,False
1603,1,4.876771,0.0,0,True,False
322,1,4.745402,0.0,0,False,False
114,1,4.876771,0.0,0,True,False
1981,1,4.921349,0.0,0,False,False
3,1,4.52458,2.03611111111,0,False,False
2000,1,4.921318,0.0,0,False,False
1173,1,5.017904,0.00347222222222,0,False,False
125,1,4.921349,124.186111111,0,False,False
635,1,4.921349,633.884722222,0,False,False
2000,1,4.876771,0.0,0,False,True
54,1,4.886641,0.0,0,False,False
54,1,4.836982,0.0,0,False,False
633,1,5.034622,0.0,0,False,False
8,1,4.745402,0.0,0,False,False
256,1,4.962055,0.0,0,True,False
145,1,4.886641,0.0,0,False,False
73,2,4.52458,72.3763888889,0,False,False
466,1,4.057414,0.0,0,False,False
1608,1,4.921349,478.614583333,0,False,False
1783,1,4.52458,0.0,0,False,False
989,1,4.836982,988.666666667,0,False,False
1292,1,4.921349,0.0,0,False,False
2,1,5.034622,1.02638888889,0,True,False
1597,1,5.017904,118.989583333,0,False,False
578,1,3.575983,486.192361111,0,False,False
105,1,5.040929,104.176388889,0,True,False
2000,2,4.745402,0.0,0,False,False
1,1,4.921318,0.0,1,False,False
2000,1,3.483951,0.442361111111,0,False,False
211,1,2.596228,210.372916667,0,False,False
2000,1,4.836982,0.0,0,False,False
167,1,4.921318,166.896527778,0,False,False
140,1,5.034622,139.034027778,0,False,False
41,1,4.895263,8.58541666667,0,False,False
179,1,4.921318,0.00208333333333,0,False,False
563,1,4.921318,0.0,0,False,False
633,1,5.034622,0.0,0,False,False
190,1,4.895263,1.52291666667,0,False,False
33,1,4.52458,32.1041666667,0,False,False
549,1,4.895263,0.452083333333,0,True,False
2000,1,4.52458,302.149305556,0,False,False
1049,1,5.034622,0.0,0,False,False
2000,1,4.876771,4.94583333333,0,False,False
611,1,4.895263,103.5875,0,False,False
10,1,4.836982,0.0,0,False,False
1759,1,4.057414,477.525694444,0,False,False
1679,1,4.745402,0.000694444444444,0,True,False
3,1,4.886641,2.975,0,False,False
15,1,4.836982,14.3798611111,0,False,False
8,1,4.52458,7.04722222222,0,True,False
842,1,4.742303,833.5625,0,False,False
877,1,4.745402,0.0,0,False,False
1326,1,5.034622,0.0,0,False,False
2,1,3.483951,1.11388888889,0,False,False
2000,1,4.921349,210.03125,0,False,False
798,1,4.745402,0.0,0,False,False
211,1,4.836982,0.00694444444444,0,False,False
804,1,5.040929,0.0,0,False,False
987,1,4.836982,0.0541666666667,0,True,False
1089,1,3.954522,1088.73819444,0,False,False
205,1,4.745402,0.0,0,False,False
1350,1,3.954522,0.0111111111111,0,True,False
2000,1,4.921349,366.69375,0,True,False
2,1,4.962055,1.74861111111,0,False,False
785,2,4.745402,85.8680555556,0,False,False
2,1,4.965339,0.00277777777778,0,True,False
606,1,4.505662,0.0,0,False,False
943,1,4.965339,0.0,0,False,False
312,1,4.876771,0.0,0,False,False
442,1,4.965339,0.0,0,True,False
444,1,4.886641,74.0020833333,0,False,False
25,1,4.836982,24.0743055556,0,False,False
2000,1,4.52458,1376.66875,0,False,False
14,1,4.461622,13.9041666667,0,False,False
641,1,4.748314,0.0,0,False,False
2000,1,5.017904,170.184027778,0,True,False
474,1,4.742303,0.0,0,True,False
2000,1,4.745402,160.616666667,0,False,False
1519,1,4.836982,0.0,0,True,False
299,1,4.505662,0.000694444444444,0,True,False
739,1,4.057414,0.00555555555556,0,True,False
239,1,4.886641,0.0,0,False,False
169,1,4.876771,168.021527778,0,False,False
148,1,4.921318,143.358333333,0,False,True
80,1,4.876771,0.0,0,True,False
922,1,4.836982,0.0,0,False,False
955,2,4.461622,0.0,0,False,False
1413,1,4.057414,0.0472222222222,0,False,False
1131,1,4.886641,0.0,0,False,False
674,1,4.836982,42.9909722222,0,False,False
2000,1,4.965339,3.33888888889,0,False,False
2000,1,4.962055,195.903472222,0,False,False
2000,1,4.895263,0.0,0,False,False
290,1,4.057414,288.980555556,0,False,False
1767,1,4.461622,32.4444444444,0,False,False
4,1,4.876771,0.000694444444444,0,False,False
3,1,4.876771,0.0,0,True,False
365,1,4.748314,0.0,0,False,False
823,1,5.017904,0.110416666667,0,False,False
1443,1,4.748314,0.0,0,False,False
2,1,4.461622,1.72291666667,0,False,False
597,1,4.886641,212.104861111,0,True,False
1477,1,4.745402,64.60625,0,True,False
2000,1,4.745402,0.0743055555556,0,True,False
44,1,4.921349,0.0,0,False,False
2000,1,4.52458,0.0,0,False,False
2000,1,5.040929,0.00277777777778,0,False,False
2000,1,4.057414,406.548611111,0,False,False
2000,1,5.034622,0.0,0,False,False
1,1,4.52458,0.0,1,True,False
2,1,4.748314,1.0125,0,False,False
2000,1,4.876771,2.0625,0,True,False
5,1,4.886641,0.0256944444444,0,False,False
8,2,4.505662,0.0,0,False,False
2000,1,4.921349,1830.76319444,0,False,False
978,1,3.066058,0.0125,0,False,False
132,1,4.52458,0.977083333333,0,False,False
2000,1,5.017904,0.000694444444444,0,False,False
324,1,4.886641,0.0,0,False,False
1691,1,4.742303,1579.56041667,0,False,False
2000,1,4.962055,969.936805556,0,True,False
212,1,3.954522,0.0,0,False,False
6,2,4.921349,0.0,0,False,False
531,1,4.895263,121.625694444,0,True,False
136,1,5.017904,0.0,0,False,False
1307,1,4.505662,0.0,0,False,False
2000,1,4.742303,625.884722222,0,False,False
897,1,4.505662,896.957638889,0,False,False
64,1,3.954522,0.626388888889,0,False,False
1611,1,4.962055,0.0,0,False,False
119,1,4.886641,0.000694444444444,0,False,False
12,1,5.034622,0.000694444444444,0,False,False
695,1,4.505662,0.0,0,False,False
1073,1,4.921318,49.8458333333,0,False,False
2000,1,4.742303,412.55625,0,False,False
2000,1,4.748314,0.0,0,False,False
4,1,4.748314,0.000694444444444,0,True,False
2000,1,5.040929,0.0,0,False,False
272,2,5.040929,0.0,0,False,False
1992,1,5.017904,0.000694444444444,0,False,False
2000,1,5.017904,1384.53194444,0,False,False
501,1,5.017904,0.000694444444444,0,True,False
99,1,4.895263,32.4340277778,0,False,False
3,1,4.876771,0.0,0,True,False
105,1,5.040929,0.0,0,False,False
11,1,4.745402,0.0,0,False,False
2000,1,5.040929,99.0375,0,False,False
1905,1,4.742303,0.0,0,False,False
611,1,3.575983,537.03125,0,False,False
270,1,3.575983,0.0,0,False,False
2,1,4.895263,1.01875,0,True,False
802,1,5.034622,0.0,0,False,False
17,1,4.895263,0.0,0,False,True
1194,1,4.505662,0.0631944444444,0,False,False
1575,1,4.461622,0.0,0,False,False
38,1,4.748314,0.0104166666667,0,True,False
49,1,5.040929,48.9965277778,0,True,False
1768,1,4.965339,1009.37222222,0,True,False
37,1,4.745402,0.000694444444444,0,False,False
1025,1,4.921318,155.729861111,0,False,False
13,1,4.836982,0.0368055555556,0,False,False
909,1,4.745402,0.0,0,False,False
1165,1,4.886641,0.591666666667,0,True,False
2000,1,4.742303,0.0,0,True,False
4,1,5.040929,0.0,0,False,False
7,1,4.876771,0.00138888888889,0,False,False
298,2,4.886641,151.750694444,0,True,False
1,1,4.748314,0.0,1,True,False
2000,1,4.745402,546.708333333,0,False,False
1,1,4.745402,0.00347222222222,1,False,False
2000,1,4.505662,0.0,0,False,False
6,1,4.921349,0.00208333333333,0,False,False
888,1,4.745402,0.921527777778,0,False,False
135,1,4.745402,0.0,0,False,False
1697,1,4.965339,0.0,0,False,False
119,1,4.965339,118.971527778,0,False,False
441,1,4.876771,0.000694444444444,0,False,False
15,1,4.876771,0.0,0,True,False
56,1,2.94894,53.5631944444,0,False,False
253,1,4.921318,252.021527778,0,False,False
2000,1,4.461622,0.507638888889,0,True,False
2000,1,5.017904,390.518055556,0,True,False
2000,1,5.034622,119.043055556,0,False,False
663,1,4.748314,0.0,0,False,False
1714,2,4.745402,680.192361111,0,False,False
4,1,4.836982,0.000694444444444,0,False,True
200,1,4.962055,0.0,0,False,False
278,1,5.017904,0.00277777777778,0,False,False
111,1,5.017904,0.0,0,False,False
1958,1,4.748314,25.8701388889,0,True,False
38,1,4.52458,37.0625,0,False,False
144,1,5.034622,0.0,0,False,False
1481,1,3.954522,0.382638888889,0,True,False
27,1,4.895263,25.6354166667,0,False,False
2000,1,4.962055,0.0,0,False,False
138,1,4.742303,0.0,0,False,False
2000,1,4.895263,629.943055556,0,False,False
2000,1,4.057414,0.0,0,False,False
2000,1,4.748314,934.224305556,0,False,False
27,1,5.040929,0.444444444444,0,False,False
2000,1,4.895263,0.0,0,True,False
45,2,4.745402,44.8638888889,0,False,False
67,1,4.921349,0.0,0,False,False
215,1,4.748314,173.547916667,0,False,False
1922,1,3.066058,0.886805555556,0,False,False
148,1,4.921349,0.0,0,False,False
1595,1,4.876771,1.05486111111,0,False,True
87,1,4.921318,0.000694444444444,0,False,False
1,1,4.921318,0.0,1,False,False
778,1,3.483951,0.0,0,False,False
68,1,4.745402,0.000694444444444,0,False,False
10,1,5.017904,0.0,0,False,False
1323,1,4.057414,86.0881944444,0,True,False
1921,1,4.962055,0.0,0,False,False
1756,1,4.745402,1.82569444444,0,False,False
1801,2,4.921349,0.0,0,False,True
947,1,4.745402,0.805555555556,0,True,False
2,1,4.461622,0.0,0,False,False
2000,1,4.52458,288.50625,0,True,False
742,1,4.057414,0.0,0,False,False
1613,1,5.040929,15.3791666667,0,False,False
278,1,4.886641,0.00763888888889,0,False,False
83,1,4.057414,82.7861111111,0,False,False
2000,1,5.040929,1548.03402778,0,False,False
3,1,4.921349,0.0,0,True,False
410,1,3.575983,124.254861111,0,True,False
31,1,4.965339,0.0,0,False,False
2000,1,5.034622,337.7875,0,False,False
2000,1,4.965339,193.113888889,0,False,False
892,1,4.745402,0.0,0,False,False
1634,1,4.52458,0.0,0,False,False
205,10,4.748314,57.0201388889,0,False,False
648,1,4.748314,0.000694444444444,0,False,True
1098,1,5.017904,0.000694444444444,0,False,False
1937,1,5.040929,318.084027778,0,False,False
1817,1,4.742303,0.00347222222222,0,True,False
132,1,4.921349,131.103472222,0,True,False
909,1,3.575983,314.949305556,0,True,False
655,1,5.034622,0.0,0,False,False
2000,1,5.040929,0.0,0,False,False
196,1,4.921349,0.0,0,False,False
299,1,4.921318,0.0,0,False,False
124,1,3.483951,123.620833333,0,True,False
1724,1,4.742303,323.272916667,0,True,False
1546,1,3.483951,0.0,0,True,False
2000,1,4.886641,0.0,0,False,False
307,1,5.034622,0.0,0,False,False
2000,1,4.52458,509.373611111,0,False,False
1196,1,5.017904,0.0,0,False,False
272,1,4.876771,0.0,0,False,True
529,1,2.596228,145.442361111,0,False,False
1,1,4.921349,0.00763888888889,1,False,False
2000,1,4.895263,0.000694444444444,0,False,False
2000,1,4.836982,263.802083333,0,False,True
1129,1,4.886641,0.00138888888889,0,False,False
72,1,4.52458,71.4555555556,0,True,False
579,1,4.461622,486.322916667,0,False,False
2000,1,4.921318,0.0173611111111,0,False,False
385,1,4.965339,10.1701388889,0,False,False
247,1,4.505662,246.072916667,0,False,False
567,1,4.505662,411.819444444,0,False,False
1147,1,4.745402,86.5944444444,0,False,False
958,1,4.461622,0.0,0,False,False
101,1,4.742303,0.0,0,True,False
2000,1,4.965339,718.602083333,0,True,False
2000,1,4.962055,136.227083333,0,True,False
219,1,4.962055,0.0,0,True,False
934,1,4.921349,0.000694444444444,0,False,False
46,1,4.748314,0.0,0,False,False
912,1,4.921318,180.8,0,True,False
151,1,3.954522,0.0,0,False,False
487,1,4.876771,485.793055556,0,False,False
129,1,4.52458,128.455555556,0,False,False
1213,1,5.040929,0.0,0,False,False
1622,1,4.52458,1.35625,0,False,False
620,1,4.965339,619.679166667,0,True,False
2000,1,4.965339,929.054166667,0,False,False
857,2,4.886641,0.0,0,False,False
13,1,4.962055,0.0,0,False,False
2000,1,5.017904,88.3840277778,0,False,False
454,1,5.034622,0.0,0,False,False
14,2,4.895263,13.8395833333,0,False,False
1272,1,4.505662,815.264583333,0,True,False
564,1,4.748314,547.815277778,0,True,False
2000,1,4.886641,0.00277777777778,0,False,False
947,3,4.876771,208.385416667,0,False,False
46,1,4.886641,44.9875,0,False,False
4,1,5.034622,3.30833333333,0,False,False
993,1,4.745402,0.0,0,False,False
8,1,4.921349,7.04652777778,0,False,False
13,1,4.895263,12.8791666667,0,False,False
323,1,5.017904,322.061111111,0,False,False
2000,1,4.921318,0.00138888888889,0,False,False
618,1,3.483951,542.501388889,0,True,False
2000,1,4.742303,0.00347222222222,0,True,False
915,1,4.836982,363.908333333,0,False,False
2000,1,4.965339,0.0,0,False,False
2000,1,4.895263,0.00138888888889,0,False,False
2000,1,5.017904,1045.02152778,0,False,False
20,1,4.745402,14.1479166667,0,False,False
2000,1,4.836982,0.0,0,False,False
2000,1,4.461622,1.50694444444,0,False,False
1425,1,4.921318,0.0,0,False,False
1156,1,4.886641,0.0,0,False,False
180,1,4.962055,0.132638888889,0,False,False
2000,1,4.461622,504.740972222,0,True,False
1985,1,4.742303,32.6756944444,0,True,False
2000,1,4.748314,52.84375,0,False,False
8,1,4.895263,7.83958333333,0,True,False
82,1,4.52458,81.9541666667,0,False,True
1804,1,4.876771,0.0,0,True,False
6,1,4.52458,0.310416666667,0,True,False
1922,1,3.066058,0.902777777778,0,True,False
155,3,4.742303,0.00763888888889,0,False,False
2000,1,3.954522,0.0,0,False,False
1936,1,5.017904,0.0,0,False,False
2000,1,4.745402,0.0,0,False,False
55,1,4.895263,0.0263888888889,0,False,False
1576,1,4.836982,0.000694444444444,0,False,False
215,1,2.596228,214.302083333,0,False,False
2000,2,4.895263,0.513888888889,0,False,False
310,2,3.066058,309.838888889,0,False,False
9,1,4.52458,8.15069444444,0,True,False
6,1,4.745402,5.55972222222,0,False,False
1507,1,4.876771,257.232638889,0,False,False
1,2,4.505662,0.0,1,False,False
2000,1,4.057414,618.078472222,0,False,False
2000,1,5.034622,449.097222222,0,False,False
379,1,4.921318,0.0,0,False,False
22,2,4.876771,0.0,0,False,False
89,1,2.94894,0.0,0,True,False
1772,1,4.745402,0.0,0,False,False
52,1,4.742303,0.0,0,True,False
28,1,5.034622,27.9854166667,0,False,False
1141,1,4.876771,0.0,0,False,False
144,1,4.52458,143.925,0,False,False
170,1,4.886641,0.0,0,False,True
152,1,4.876771,0.0,0,False,False
5,1,4.745402,4.12430555556,0,True,False
2000,1,4.836982,0.0,0,False,True
2000,1,5.034622,441.838194444,0,False,False
953,1,4.921349,244.302083333,0,False,False
1259,1,5.017904,0.0145833333333,0,False,False
2000,1,3.954522,1067.47430556,0,False,False
2000,1,5.034622,149.870138889,0,False,False
1718,1,4.876771,0.00277777777778,0,False,False
52,1,4.886641,51.9083333333,0,False,True
1371,1,4.895263,0.0,0,False,False
519,1,4.895263,0.0,0,False,False
2,1,4.895263,0.00486111111111,0,False,False
1744,1,4.745402,0.00208333333333,0,False,False
2000,1,4.505662,0.00277777777778,0,False,False
17,1,5.034622,0.0,0,False,False
2000,1,5.034622,532.209722222,0,False,False
1655,1,4.921349,0.0,0,False,False
206,1,3.575983,205.510416667,0,True,False
2000,1,5.040929,965.358333333,0,False,False
598,1,4.921318,0.0,0,True,False
867,1,4.921349,0.0,0,True,False
659,1,4.52458,29.1243055556,0,False,False
82,1,4.461622,81.7736111111,0,True,False
525,1,3.483951,0.000694444444444,0,False,False
1595,1,4.886641,543.93125,0,False,False
895,1,4.876771,161.090972222,0,False,False
918,1,4.748314,7.75347222222,0,False,True
127,2,4.748314,121.077777778,0,False,False
29,1,4.921349,0.0,0,False,False
6,1,4.836982,5.8375,0,False,False
2000,1,4.836982,529.628472222,0,False,False
1353,1,4.836982,0.0,0,True,False
2000,1,4.886641,0.0,0,False,False
18,1,4.52458,17.79375,0,False,False
2000,1,4.505662,755.28125,0,False,False
1614,1,4.836982,0.0,0,False,False
1572,1,4.965339,0.000694444444444,0,False,False
1034,1,5.040929,0.00138888888889,0,False,False
34,1,4.52458,0.0,0,False,False
1257,1,5.017904,0.00138888888889,0,False,False
1524,1,4.836982,0.0,0,False,False
2000,1,4.742303,286.528472222,0,False,False
2000,1,4.745402,1063.73055556,0,False,False
2000,1,4.876771,0.000694444444444,0,False,False
1466,1,4.505662,0.0,0,False,False
2000,1,4.748314,1289.71458333,0,False,True
1736,1,4.876771,0.0,0,False,False
155,1,4.962055,0.000694444444444,0,False,False
7,1,5.017904,0.0,0,False,False
2000,1,4.921318,0.00277777777778,0,False,False
483,1,4.876771,7.10347222222,0,False,False
115,1,4.742303,114.959722222,0,False,False
2000,1,4.742303,0.0,0,False,False
2000,1,4.748314,12.1743055556,0,False,False
1219,1,4.876771,0.0,0,True,False
2000,1,3.954522,0.0,0,False,False
736,1,4.965339,0.000694444444444,0,False,False
1,1,4.895263,0.00763888888889,1,True,False
2000,1,4.886641,662.875,0,True,False
987,1,5.040929,0.420138888889,0,True,False
675,2,4.886641,0.0,0,False,False
156,1,4.836982,0.00208333333333,0,False,False
120,1,4.895263,119.813888889,0,False,False
46,5,4.748314,27.8645833333,0,True,False
14,1,5.034622,0.0,0,True,False
